location_name,address,city,state,zipcode,count(1)
orlando international airport,9333 airport blvd,orlando,fl,32827,15877
lake worth south,6275 lantana rd,greenacres,fl,33463,15876
short pump town center,11800 w broad st ste 1008,richmond,va,23233,15874
the shops at willow lawn,1601 willow lawn dr,richmond,va,23230,15872
mcdonough,1321 highway 20 w,mcdonough,ga,30253,15872
danbury fair mall,chickfila at danbury fair mall,danbury,ct,06810,15872
jefferson pointe,1725 apple glen blvd,fort wayne,in,46804,15871
dwarf house chickfila classics,726 mount berry sq ne,rome,ga,30165,15865
copperas cove,202 robert griffin iii blvd,copperas cove,tx,76522,15860
new albany,2225 state st,new albany,in,47150,15858
west midland,5120 andrews hwy,midland,tx,79703,15858
rockford,280 n perryville rd,rockford,il,61107,15858
marietta trade center,170 cobb pkwy s,marietta,ga,30060,15856
alameda avenue,14310 e alameda ave,aurora,co,80012,15855
baltimorewashington international airport,aviation boulevard amp elm road,baltimore,md,21240,15848
southern illinois universityedwardsville,university ctr,edwardsville,il,62026,15843
mishawaka main street,5517 n main st,mishawaka,in,46545,15841
district heights,5502 silver hill rd,district heights,md,20747,15839
greenwood,155 s marlin dr,greenwood,in,46142,15837
wendover,1100 lanada rd,greensboro,nc,27407,15828
ashbridge square,845 e lancaster ave,downingtown,pa,19335,15827
drexel university,203 n 34th st,philadelphia,pa,19104,15827
lansdowne station,3599 washington blvd,baltimore,md,21227,15823
lake park,1197 lakes blvd,lake park,ga,31636,15819
loucks road,922 loucks rd,york,pa,17404,15814
middletown de,701 s ridge ave,middletown,de,19709,15811
delaware state university,1200 n dupont hwy,dover,de,19901,15810
pembroke lakes mall,11401 pines blvd ste 466,pembroke pines,fl,33026,15806
120th amp; washington,1301 e 120th ave,thornton,co,80233,15806
severna park,511 ritchie hwy,severna park,md,21146,15801
lee crossings,1202 us highway 19 s,leesburg,ga,31763,15799
medical college of virginia,403 n 13th st,richmond,va,23298,15798
castleton square,6020 e 82nd st ste 1012,indianapolis,in,46250,15798
east york,2801 e market st,york,pa,17402,15798
huebner amp; babcock,5803 babcock rd,san antonio,tx,78240,15790
lilburn,4801 lawrenceville hwy nw,lilburn,ga,30047,15790
willowbrook mall,1174 willowbrook mall,houston,tx,77070,15782
hagerstown,1680 wesel blvd,hagerstown,md,21740,15780
el dorado amp; toll road,5211 eldorado pkwy,frisco,tx,75033,15779
jackson ave,1300 e jackson ave,mcallen,tx,78503,15779
quarterfield crossing,7831 quarterfield park road,severn,md,21144,15779
champions center,3588 highway 114,fort worth,tx,76177,15778
south warner robins,790 highway 96,bonaire,ga,31005,15772
gause blvd,1645 gause blvd,slidell,la,70458,15758
parker,9335 crown crest blvd,parker,co,80138,15757
willis,12310 old montgomery rd,willis,tx,77318,15756
justin road,2001 justin rd,flower mound,tx,75028,15755
turfland,2025 harrodsburg rd,lexington,ky,40504,15753
kingwood,4594 kingwood dr,kingwood,tx,77345,15753
university of pikeville,810 hambley blvd,pikeville,ky,41501,15750
hinesville,877 w oglethorpe hwy,hinesville,ga,31313,15749
hartsfieldjackson atlanta int39;l airport  conc c,7700 spine rd,atlanta,ga,30320,15748
madison avenue,24794 madison ave,murrieta,ca,92562,15746
stuart,2930 se federal hwy,stuart,fl,34994,15744
university place nc,201 s estes dr spc 51,chapel hill,nc,27514,15743
griffin,1000 w taylor st,griffin,ga,30223,15742
indian river road,5409 indian river rd,virginia beach,va,23464,15741
stratford hills,7125 forest hill ave,richmond,va,23225,15737
old dominion university,1200 webb ctr,norfolk,va,23529,15733
west 7th,549 carroll st,fort worth,tx,76107,15732
town east mall,3054 town east mall,mesquite,tx,75150,15732
quakertown,602 n west end blvd,quakertown,pa,18951,15730
jonesboro dwarf house,7348 tara blvd,jonesboro,ga,30236,15728
santee,9418 mission gorge rd,santee,ca,92071,15726
forest hill,1980 rock spring rd,forest hill,md,21050,15724
marketplace at hilltop,749 first colonial rd,virginia beach,va,23451,15723
sawgrass square,12600 w sunrise blvd,sunrise,fl,33323,15717
eagles landing,1275 eagles landing pkwy,stockbridge,ga,30281,15713
bear,1101 quintilio dr,bear,de,19701,15710
waldorf,3365 crain hwy,waldorf,md,20603,15706
north carefree,3710 bloomington st,colorado springs,co,80922,15704
wells fargo bank,1525 w w t harris blvd,charlotte,nc,28262,15704
oakwood center,197 westbank expy ste 1685,gretna,la,70053,15702
university of ncgreensboro elliott center,516 stirling st,greensboro,nc,27412,15699
saxon boulevard,1141 saxon blvd,orange city,fl,32763,15696
oakleaf town center,9630 applecross rd,jacksonville,fl,32222,15694
university and highlands ranch pkwy,3700 e highlands ranch pkwy,highlands ranch,co,80126,15687
concord township,20 state farm dr,glen mills,pa,19342,15684
northlake boulevard,1262 northlake blvd,lake park,fl,33403,15684
royal palm beach,206 s state road 7,west palm beach,fl,33414,15681
spotsylvania towne centre,8020 spotsylvania mall,fredericksburg,va,22407,15680
muncie,511 w mcgalliard rd,muncie,in,47303,15679
university at forsyth,3391 university blvd,winter park,fl,32792,15679
perrysburg plaza,10315 fremont pike,perrysburg,oh,43551,15671
valencia town center,24180 magic mountain pkwy,santa clarita,ca,91355,15669
georgia tech,350 ferst dr,atlanta,ga,30332,15664
oswego,2740 us highway 34,oswego,il,60543,15661
chambers town center,8738 n highway 146,baytown,tx,77523,15659
rutherford crossing,112 market st,winchester,va,22603,15642
colerain commons,9496 colerain ave,cincinnati,oh,45251,15626
belmar,565 s vance st,lakewood,co,80226,15624
madison avenue sacramento,4644 madison ave,sacramento,ca,95841,15621
bloomsburg university,400 e 2nd st,bloomsburg,pa,17815,15619
james madison university,msc 902,harrisonburg,va,22807,15611
kent island,1845 main st,chester,md,21619,15608
paddock mall,3100 sw college rd,ocala,fl,34474,15607
park place,7020 us highway 19 n,pinellas park,fl,33781,15607
anderson university,1100 e 5th st,anderson,in,46012,15601
university of houstondowntown,1 main st,houston,tx,77002,15599
avon,10791 e us highway 36,avon,in,46123,15596
valley ranch,11877 n grand pkwy e,new caney,tx,77357,15595
i10 and uvalde,13720 east fwy,houston,tx,77015,15592
university of north texas,po box 310877,denton,tx,76203,15590
weston,15990 sw 41st st,davie,fl,33331,15590
eastland mall in,800 n green river rd,evansville,in,47715,15589
the woodlands mall,1201 lake woodlands dr ste 2146,the woodlands,tx,77380,15587
hartsfieldjackson atlanta int39;l airport  conc a,6000 n terminal pkwy,atlanta,ga,30320,15585
tomball,14314 fm 2920 rd,tomball,tx,77377,15572
pleasant hill dwarf house,1570 pleasant hill rd,duluth,ga,30096,15572
university of louisiana monroe,700 university ave,monroe,la,71209,15568
taylor university,236 w reade ave,upland,in,46989,15561
south walton,52 scenic gulf dr,miramar beach,fl,32550,15560
main street va,1018 n main st,suffolk,va,23434,15558
university of texasel paso,500 w university,el paso,tx,79968,15550
liberty place,1625 chestnut st ste f8,philadelphia,pa,19103,15550
la plata,107 drury dr,la plata,md,20646,15547
ridley,405 macdade blvd,folsom,pa,19033,15545
treasure coast square,3278 nw federal hwy,jensen beach,fl,34957,15545
radford university,fairfax street,radford,va,24142,15542
orange park mall,1910 wells rd,orange park,fl,32073,15540
grapevine,1245 william d tate ave,grapevine,tx,76051,15540
frankford road,4523 frankford rd,dallas,tx,75287,15539
short pump crossing,3380 pump rd,richmond,va,23233,15539
cross pointe,7101 e indiana st,evansville,in,47715,15539
mohegan sun resort,1 mohegan sun blvd,uncasville,ct,06382,15538
william p hobby airport,7800 airport blvd,houston,tx,77061,15531
st cloud,4360 13th st,saint cloud,fl,34769,15531
parham road,1529 n parham rd,richmond,va,23229,15530
vacaville commons,2081 harbison dr,vacaville,ca,95687,15527
springfield inline dt,6681a backlick rd,springfield,va,22150,15523
audubon,680 s trooper rd,norristown,pa,19403,15521
mooretown road,6732 mooretown rd,williamsburg,va,23188,15521
i35/parmer lane,12901 i35 n service road bldg 14,austin,tx,78753,15517
lake buena vista,13448 s apopka vineland rd,orlando,fl,32821,15517
moultrie,502 lane st,moultrie,ga,31768,15512
oxnard,2040 n rose ave,oxnard,ca,93036,15510
harvey,1128 manhattan blvd,harvey,la,70058,15508
norfolk state university,700 park ave,norfolk,va,23504,15506
epps bridge,1870 epps bridge pkwy,athens,ga,30606,15504
white oaks,2431 wabash ave,springfield,il,62704,15502
lima,1190 w baltimore pike,media,pa,19063,15499
haymarket,15180 washington st,haymarket,va,20169,15492
western kentucky universitytower food court,1770 avenue of champions,bowling green,ky,42101,15484
glenwood place,401 bill kennedy way se,atlanta,ga,30316,15484
erie,7160 peach st,erie,pa,16509,15481
waverly place,411 colonades way,cary,nc,27518,15479
rehoboth beach,19531 coastal hwy,rehoboth beach,de,19971,15478
hampton amp; i20,2429 w wheatland rd,dallas,tx,75237,15474
southern illinois university  carbondale,1255 lincoln dr,carbondale,il,62901,15460
st vincent39;s medical center,1 shircliff way,jacksonville,fl,32204,15458
founders square,2001 long prairie rd,flower mound,tx,75022,15456
jett ferry road,2480 jett ferry rd,dunwoody,ga,30338,15452
southeastern louisiana university  war memorial,303 west texas avenue,hammond,la,70402,15451
longwood university,156 s south st,farmville,va,23901,15449
dfw airport  terminal c,international parkway,dallas,tx,75261,15441
river city marketplace,14020 lunar dr,jacksonville,fl,32218,15440
gurnee,6550 grand ave,gurnee,il,60031,15440
town center at boca raton,6000 glades rd ste 1166c,boca raton,fl,33431,15439
liberty university  tilley,1971 university blvd,lynchburg,va,24502,15437
greenville inline dt,3130 interstate highway 30,greenville,tx,75402,15435
saxony amp; i69,14098 bergen blvd,noblesville,in,46060,15432
lake charles,3435 nelson rd,lake charles,la,70605,15431
arundel mills,7055 arundel mills cir,hanover,md,21076,15430
melbourne square,1700 w new haven ave ste 407,melbourne,fl,32904,15424
the mall at wellington green,10300 w forest hill blvd ste fc108,wellington,fl,33414,15423
lakewood,4895 candlewood st,lakewood,ca,90712,15422
orland park,15605 s la grange rd,orland park,il,60462,15422
clevelandhopkins international airport,5300 riverside dr,cleveland,oh,44135,15421
sand lake road,7333 w sand lake rd,orlando,fl,32819,15418
katy green,19303 katy fwy,houston,tx,77094,15416
lafayette,3836 south street,lafayette,in,47905,15407
university of mary hardin  baylor,900 college st,belton,tx,76513,15406
georgia street,2525 s georgia st,amarillo,tx,79109,15405
edinburg,1360 w university dr,edinburg,tx,78539,15404
montrose crossing inline,12001 rockville pike,rockville,md,20852,15401
neshaminy mall,307 neshaminy mall,bensalem,pa,19020,15399
constant friendship,408 constant friendship blvd,abingdon,md,21009,15387
centre at glen burnie,6709 ritchie hwy,glen burnie,md,21061,15385
custer amp; 121,8700 state highway 121,mckinney,tx,75070,15383
first colony center,45150 first colony way,california,md,20619,15382
sugarloaf corporate center,2020 satellite blvd,duluth,ga,30097,15382
harker heights tx,201 e central texas expy,harker heights,tx,76548,15381
statesboro,352 northside drive,statesboro,ga,30458,15381
dressler road,5411 dressler rd nw,north canton,oh,44720,15381
monticello marketplace,4610 monticello ave,williamsburg,va,23188,15378
mechanicsville,7285 battle hill dr,mechanicsville,va,23111,15376
mandarin,3280 oak bluff ln,jacksonville,fl,32257,15374
the gardens,3101 pga blvd ste l209,palm beach gardens,fl,33410,15373
northeast georgia medical center,743 spring st ne,gainesville,ga,30501,15370
trinity mills,2652 old denton rd,carrollton,tx,75007,15369
kenner,2236 veterans blvd,kenner,la,70062,15364
beachwood place mall,26300 cedar rd ste 1105,beachwood,oh,44122,15361
cuyahoga community college,2900 community college ave,cleveland,oh,44115,15359
medical center of columbus,710 center st,columbus,ga,31901,15356
king of prussia,135 w dekalb pike,king of prussia,pa,19406,15356
winterville,4239 winterville pkwy,winterville,nc,28590,15350
ingram park mall,6301 nw loop 410 ste vc9,san antonio,tx,78238,15344
ocala,3445 sw college rd,ocala,fl,34474,15341
belleview shores,5260 s wadsworth blvd,littleton,co,80123,15338
lakeline mall,11200 lakeline mall dr ste vc2,cedar park,tx,78613,15333
stanford station shopping center,900 w 23rd st,panama city,fl,32405,15333
plymouth meeting mall,500 w germantown pike ste 2265,plymouth meeting,pa,19462,15332
wichita falls,3704 call field rd,wichita falls,tx,76308,15332
westheimer amp; fondren,8609 westheimer rd,houston,tx,77063,15331
wake forest university,1834 wake forest dr,winston salem,nc,27109,15319
southpoint,9900 southpoint pkwy,fredericksburg,va,22407,15317
s orange blossom trl,7415 s orange blossom trl,orlando,fl,32809,15312
southlands,24400 e smoky hill rd,aurora,co,80016,15297
martinsville,400 liberty st,martinsville,va,24112,15297
youree drive,7010 youree dr,shreveport,la,71105,15295
savannah mall,14045 abercorn st ste 2604,savannah,ga,31419,15295
colorado mesa university,1455 n 12th st,grand junction,co,81501,15290
texas tech university,15th and akron,lubbock,tx,79409,15285
wadsworth blvd at 80th avenue,7809 wadsworth blvd,arvada,co,80003,15284
the rim,18203 w interstate 10,san antonio,tx,78257,15280
st agnes hospital,900 caton ave,baltimore,md,21229,15279
waterford lakes town center,633 n alafaya trl,orlando,fl,32828,15274
fayetteville dwarf house,221 banks sta,fayetteville,ga,30214,15271
western kentucky university,1 big red way,bowling green,ky,42101,15268
mount prospect,950 n elmhurst rd,mount prospect,il,60056,15257
westheimer amp; kirkwood,2606 s kirkwood rd,houston,tx,77077,15257
purcellville,165 purcellville gateway dr,purcellville,va,20132,15251
berkshire mall,1665 state hill rd ste 930,wyomissing,pa,19610,15249
elkton,1100 e pulaski hwy,elkton,md,21921,15247
eastpoint,7907 eastern ave,baltimore,md,21224,15247
port charlotte,1814 tamiami trl,port charlotte,fl,33948,15243
mercedesbenz stadium ocl,441 martin luther king jr dr nw,atlanta,ga,30313,15241
madison ga,1781 eatonton rd,madison,ga,30650,15238
lincoln at washington,4050 lincoln blvd,venice,ca,90292,15237
bridgewater falls,3403 princeton rd,hamilton,oh,45011,15236
university of louisville,2100 s floyd st,louisville,ky,40208,15232
whittwood,15600 whittier blvd,whittier,ca,90603,15230
pasadena crossroads,8110 jumpers hole rd,pasadena,md,21122,15228
newtown,4 west rd,newtown,pa,18940,15220
louisiana state university,2nd floor tiger lair food court,baton rouge,la,70803,15220
marsh landing pkwy,590 marsh landing pkwy,jacksonville beach,fl,32250,15216
howell mill,1942 howell mill rd nw,atlanta,ga,30318,15214
lakeside shopping center,3301 veterans memorial blvd ste 78f,metairie,la,70002,15211
naples center,5825 airport pulling rd n,naples,fl,34109,15205
everhart,4741 s padre island dr,corpus christi,tx,78411,15203
the brea plaza inline dt,1647 e imperial hwy,brea,ca,92821,15200
cielo vista mall,8401 gateway blvd w,el paso,tx,79925,15191
the fountains of miramar,3211 sw 160th ave,miramar,fl,33027,15190
lakeland square,3800 us highway 98 n ste 692,lakeland,fl,33809,15183
jimmy carter blvd,5455 jimmy carter blvd,norcross,ga,30093,15181
c470 amp; kipling,9976 w remington pl,littleton,co,80128,15181
georgia southwestern state university,800 gsw state university dr,americus,ga,31709,15173
park meadows mall,8515 park meadows center dr,lone tree,co,80124,15171
owensboro,4601 frederica st,owensboro,ky,42301,15168
covington  highway 190,912 n highway 190,covington,la,70433,15160
roswell corners,1185 woodstock rd,roswell,ga,30075,15156
roswell town center,604 holcomb bridge rd,roswell,ga,30076,15156
lansdale,210 forty foot rd,lansdale,pa,19446,15151
indiana university purdue univ at indianapolis,420 university blvd ste 120,indianapolis,in,46202,15150
inner harbor inline,400 e pratt st,baltimore,md,21202,15149
lakepoint,94 old allatoona rd se,cartersville,ga,30121,15146
university of texasarlington,300 w first st,arlington,tx,76019,15145
i10 at louisiana avenue,3205 louisiana ave,lafayette,la,70501,15143
pleasant valley road,2230 s pleasant valley rd,winchester,va,22601,15141
altamonte springs,425 w state road 436,altamonte springs,fl,32714,15137
monterey road amp; tully road,2280 monterey hwy,san jose,ca,95112,15135
westshore plaza,241a westshore plaza,tampa,fl,33609,15133
concord mall,4737 concord pike ste 760,wilmington,de,19803,15130
west tennessee street,1775 w tennessee st,tallahassee,fl,32304,15128
lock haven university,401 n fairview st,lock haven,pa,17745,15124
wilkesboro,2007 w us highway 421,wilkesboro,nc,28697,15122
haygood shopping center,1097 independence blvd,virginia beach,va,23455,15122
smyrna ga,5120 s cobb dr se,smyrna,ga,30080,15121
mall at chesterfield towne center,11500 midlothian tpke ste 478,north chesterfield,va,23235,15113
hapeville dwarf house,461 n central ave,hapeville,ga,30354,15111
south dale mabry,609 s dale mabry hwy,tampa,fl,33609,15110
the district,2889 park ave,tustin,ca,92782,15109
north druid hills drivethru only,3905 n druid hills rd,decatur,ga,30033,15109
cook children39;s hospital,801 7th ave,fort worth,tx,76104,15102
south cobb drive,3100 s cobb dr se,smyrna,ga,30080,15093
peoria,4518 n sterling ave,peoria,il,61615,15090
cypress towne lake,9823 barker cypress rd,cypress,tx,77433,15087
oxford valley road,2424 e lincoln hwy,langhorne,pa,19047,15084
georgia southern university,8107 russell un,statesboro,ga,30460,15083
university of texassan antonio utsa,1 utsa cir,san antonio,tx,78249,15081
oglethorpe mall,7804 abercorn st  110,savannah,ga,31406,15079
st pete beach,4623 gulf blvd,saint petersburg,fl,33706,15075
tuskawilla road,1455 tuskawilla rd,winter springs,fl,32708,15072
george washington,44835 lakeview overlook plz,ashburn,va,20147,15068
peachtree at collier,1901 peachtree rd ne,atlanta,ga,30309,15066
loganville,4321 atlanta hwy,loganville,ga,30052,15063
cheltenham,2421 w cheltenham ave,philadelphia,pa,19150,15062
52nd and wadsworth,5236 wadsworth byp,arvada,co,80002,15060
lehigh valley mall,826 lehigh lifestyle ctr,whitehall,pa,18052,15059
georgetown,1031 w university ave,georgetown,tx,78628,15056
laredo,5118 mcpherson rd,laredo,tx,78041,15054
rancho cucamonga,12190 foothill blvd,rancho cucamonga,ca,91739,15051
vero beach,6020 elon lane,vero beach,fl,32966,15051
keller,1002 keller pkwy,keller,tx,76248,15048
executive park drive,4905 executive park dr,columbia,md,21045,15042
outlet shoppes at atlanta,951 ridgewalk pkwy,woodstock,ga,30188,15041
benchwood,3339 benchwood rd,dayton,oh,45414,15041
altamonte mall,451 e altamonte dr,altamonte springs,fl,32701,15038
midland,6501 kitten lake dr,midland,ga,31820,15035
grove city,1696 stringtown rd,grove city,oh,43123,15031
cross roads,11851 us highway 380,crossroads,tx,76227,15029
indiana university of pennsylvania,319 pratt dr,indiana,pa,15701,15029
beaver valley mall,544 beaver valley mall,monaca,pa,15061,15026
copperfield,8440 highway 6 n,houston,tx,77095,15018
owings mills square,10480 owings mills blvd,owings mills,md,21117,15018
lanier crossing,653 atlanta rd,cumming,ga,30040,15005
eastern illinois university,600 lincoln ave,charleston,il,61920,15005
university of nccharlotte,9201 university city blvd,charlotte,nc,28223,15005
moorpark road,449 n moorpark rd,thousand oaks,ca,91360,15004
lake woodlands drive,1660 lake woodlands dr,the woodlands,tx,77380,14984
starr39;s mill,1222 highway 74 s,peachtree city,ga,30269,14983
country club mall,1262 vocke rd ste 284,cumberland,md,21502,14983
wilson,2407 forest hills rd w,wilson,nc,27893,14977
philadelphia international airport,8500 essington ave,philadelphia,pa,19153,14970
penn state university,bo1oc hubrobeson center,university park,pa,16802,14967
harlingen,1021 dixieland rd,harlingen,tx,78552,14964
walnut creek,2750 n main st,walnut creek,ca,94597,14959
mall blvd drivethru only,303 mall blvd,savannah,ga,31406,14956
hampton university,queen amp tyler st,hampton,va,23668,14955
pueblo,1535 w us highway 50,pueblo,co,81008,14950
hamilton mill,2635 hamilton mill rd,buford,ga,30519,14946
cranberry,1700 route 228,cranberry township,pa,16066,14945
university of ncchapel hill lenoir hall,36 lenior hall,chapel hill,nc,27599,14944
fairburn road drivethru only,5888 fairburn rd,douglasville,ga,30134,14944
southpark va,384 southpark circle space b10,colonial heights,va,23834,14937
pines and flamingo,12203 pines blvd,pembroke pines,fl,33026,14936
deerfield crossing,5150 merten dr,mason,oh,45040,14922
prien lake mall,592 w prien lake rd,lake charles,la,70601,14922
forest park dwarf house,4959 jonesboro rd,forest park,ga,30297,14920
pittsburgh international airport,1000 airport blvd,pittsburgh,pa,15231,14919
airline highway,15055 airline hwy,baton rouge,la,70817,14912
mentor,9611 mentor ave,mentor,oh,44060,14911
sugarloaf amp; 316,4965 sugarloaf pkwy,lawrenceville,ga,30044,14908
park meadows on county line rd,9091 westview rd,lone tree,co,80124,14902
mall del norte,5300 north i35,laredo,tx,78041,14901
shands hospital sun terracegainesville,114 recreational dining ctr,gainesville,fl,32611,14900
pecanland mall,4700 millhaven rd ste 1098,monroe,la,71203,14899
lincoln highway east,2467 lincoln hwy e,lancaster,pa,17602,14898
dezavala road,5189 de zavala rd,san antonio,tx,78249,14897
fairburn,7810 senoia rd,fairburn,ga,30213,14894
university of virginia,alderman amp mccormick rds,charlottesville,va,22904,14886
streets at southglenn inline dt,6907 s university blvd ste 201,centennial,co,80122,14883
tyrone square,2257 tyrone sq,saint petersburg,fl,33710,14882
ormond towne square,1464 w granada blvd,ormond beach,fl,32174,14879
university of tampa,401 w kennedy blvd,tampa,fl,33606,14877
hulen mall,4800 s hulen st ste 2105,fort worth,tx,76132,14875
greenwood village,9331 e arapahoe rd,greenwood village,co,80112,14870
monroe ga,620 highway 138 nw,monroe,ga,30655,14868
i10 and silber road,7660 katy fwy,houston,tx,77024,14867
royersford,70 buckwalter rd ste 1450,royersford,pa,19468,14862
joppa road,2008 e joppa rd,parkville,md,21234,14859
cornerstone,5301 cornerstone north blvd,centerville,oh,45440,14850
anderson,8598 beechmont ave,cincinnati,oh,45255,14844
peachtree corners,6105 peachtree pkwy,norcross,ga,30092,14843
navicent health,777 hemlock st,macon,ga,31201,14814
river point,4090 river point pkwy,sheridan,co,80110,14813
the ridge,5023 highway 90,pace,fl,32571,14811
springhurst,10501 westport rd,louisville,ky,40241,14800
i220 amp; airline drive,2601 beene blvd,bossier city,la,71111,14799
vista gardens marketplace,10631 martin luther king jr hwy,bowie,md,20720,14792
river ridge mall,3405 candlers mountain rd ste fc6,lynchburg,va,24502,14790
hanover,340 eisenhower dr,hanover,pa,17331,14772
gainesville west,805 dawsonville hwy,gainesville,ga,30501,14770
tuckernuck plaza,9100 w broad st,richmond,va,23294,14765
palm coast,1000 palm coast pkwy nw,palm coast,fl,32137,14754
laguna niguel,28201 crown valley pkwy,laguna niguel,ca,92677,14754
exton square,280 exton square mall,exton,pa,19341,14744
southchase plaza,13085 s orange blossom trl,orlando,fl,32837,14739
manchester expressway,2730 manchester expy,columbus,ga,31904,14739
holcombe amp; buffalo speedway,3101 w holcombe blvd,houston,tx,77025,14735
westfield citrus park,8019 citrus park town center mall,tampa,fl,33625,14733
del rio,2207 veterans blvd,del rio,tx,78840,14715
victoria mall,7800 hallettsville highway 155,victoria,tx,77901,14707
noblesville,16685 mercantile blvd,noblesville,in,46060,14704
patrick henry mall,12300 jefferson ave spc 740f1,newport news,va,23602,14698
i35/ben white,500 e ben white blvd,austin,tx,78704,14692
katy mills,25601 nelson way,katy,tx,77494,14690
seminole plaza,10790 park blvd,seminole,fl,33772,14688
eastgate plaza,5156 state route 30,greensburg,pa,15601,14683
the loop,3286 n john young pkwy,kissimmee,fl,34741,14682
ruston,1206 maxwell blvd,ruston,la,71270,14669
melrose park,2 winston plz,melrose park,il,60160,14665
jesse jewell parkway,1917 ne jesse jewell parkway,gainesville,ga,30501,14662
highlands village shopping center,3830 troup hwy,tyler,tx,75703,14660
oviedo mall,1610 oviedo mall blvd,oviedo,fl,32765,14654
md anderson cancer center,7007 bertner ave,houston,tx,77030,14646
kirkman and conroy road,4752 s kirkman rd,orlando,fl,32811,14606
vista ridge village,483 e round grove rd,lewisville,tx,75067,14596
panama city,661 n highway 231,panama city,fl,32405,14593
ontario mills parkway,4350 ontario mills pkwy,ontario,ca,91764,14576
market at east broad,6240 e broad st,columbus,oh,43213,14575
westfield brandon,519 brandon town center mall,brandon,fl,33511,14574
stonybrook,2350 shane dr,louisville,ky,40220,14572
great lakes mall,7850 mentor ave ste 870,mentor,oh,44060,14565
mcknight road,7451 mcknight rd,pittsburgh,pa,15237,14565
viera,8300 n wickham rd,melbourne,fl,32940,14559
university of texas  tyler,3900 university blvd,tyler,tx,75799,14558
winter garden,3166 daniels rd,winter garden,fl,34787,14552
mullins crossing,4201 washington rd,evans,ga,30809,14551
lovejoy station,11161 tara blvd,hampton,ga,30228,14546
greengate centre,900 greengate centre cir,greensburg,pa,15601,14544
lafayette parkway,1574 lafayette pkwy,lagrange,ga,30241,14542
broadcasting square,2707 n meridian blvd,reading,pa,19610,14539
texas tech university  sam39;s west,3211 18th st,lubbock,tx,79409,14531
milledgeville,1730 n columbia st,milledgeville,ga,31061,14522
kerrville,1060 junction hwy,kerrville,tx,78028,14514
scenic highway,1559 scenic hwy n,snellville,ga,30078,14514
aramingo,2301 e butler st,philadelphia,pa,19137,14511
pompano beach,2250 n federal hwy,pompano beach,fl,33062,14509
fountain,7925 fountain mesa rd,fountain,co,80817,14508
east norriton,2640 dekalb pike,east norriton,pa,19401,14508
westfield countryside mall,27001 us highway 19 n ste 2089,clearwater,fl,33761,14506
roosevelt square,4495 roosevelt blvd ste 601,jacksonville,fl,32210,14503
lauderhill,8190 w commercial blvd,tamarac,fl,33351,14498
league city towne center,1640 fm 646 rd w,dickinson,tx,77539,14496
university of central florida,4000 central florida blvd,orlando,fl,32816,14493
i635 and macarthur,7850 n macarthur blvd,irving,tx,75063,14490
towson town center,825 dulaney valley rd ste 3285,towson,md,21204,14484
s clearview,1141 s clearview pkwy,jefferson,la,70121,14470
polaris fashion place,1500 polaris pkwy ste fc4,columbus,oh,43240,14468
newton plaza,3130 highway 278 nw,covington,ga,30014,14459
international speedway,100 n williamson blvd,daytona beach,fl,32114,14454
lbj amp; midway,12795 midway rd,dallas,tx,75244,14447
kissimmee,4450 w vine st,kissimmee,fl,34746,14444
navy blvd,510 n navy blvd,pensacola,fl,32507,14434
centre at salisbury,2300 n salisbury blvd ste g115,salisbury,md,21801,14426
college drive,3023 college dr,baton rouge,la,70808,14423
houston county galleria,2922 watson blvd ste 840,centerville,ga,31028,14422
eastgate,874 eastgate north dr,cincinnati,oh,45245,14416
wheaton,301 e loop rd,wheaton,il,60189,14414
el dorado boulevard,18323 gulf fwy,webster,tx,77598,14397
peachtree mall,3131 manchester expy ste 7f,columbus,ga,31909,14384
kedron village,1100 n peachtree pkwy,peachtree city,ga,30269,14381
hunt valley towne centre,6 hyland ave,hunt valley,md,21030,14378
usaa cafe h,9800 fredericksburg rd,san antonio,tx,78288,14371
morehouse college,830 westview dr sw,atlanta,ga,30314,14371
grapevine mills,2255 e grapevine mills cir,grapevine,tx,76051,14362
montrose,47 flight memorial pkwy,fairlawn,oh,44333,14333
san marcos,587 grand ave,san marcos,ca,92078,14326
heights corner,3200 hulen st,fort worth,tx,76107,14320
neshaminy,3621 horizon blvd,trevose,pa,19053,14311
kentlands square inline,104 main st,gaithersburg,md,20878,14310
inwood road,12120 inwood rd,dallas,tx,75244,14305
hwy 6 at west little york,6175 highway 6 n,houston,tx,77084,14300
waters ave,6299 w waters ave,tampa,fl,33634,14299
hiram,4326 jimmy lee smith pkwy,hiram,ga,30141,14299
stockbridge dwarf house,3649 highway 138 se,stockbridge,ga,30281,14295
st augustine road,1100 n saint augustine rd,valdosta,ga,31601,14270
willow bend mall,6121 w park blvd ste fc103,plano,tx,75093,14265
fm 620 north amp; hwy 183,13201 ranch road 620 n,austin,tx,78717,14262
nicholasville road,2514 nicholasville rd,lexington,ky,40503,14254
howland commons,1885 niles cortland rd se,warren,oh,44484,14245
university of florida,114 recreational dining ctr,gainesville,fl,32611,14226
valley health winchester medical center,1836 amherst st,winchester,va,22601,14221
macedonia,8213 golden link blvd,macedonia,oh,44067,14217
stonebridge village,5905 spout springs rd,flowery branch,ga,30542,14208
richmond centre,2072 lantern ridge dr,richmond,ky,40475,14200
east lake,2105 roswell rd,marietta,ga,30062,14200
village at westlake,701 s capital of texas hwy ste l400,west lake hills,tx,78746,14185
