name
"Sausage/Bacon, Egg and Cheese Biscuit"
"Sausage/Bacon, Egg and Cheese Muffin"
Grilled Chicken Cool Wrap
Grilled Nuggets
Grilled Chicken Sandwich
Grilled Market Salad
Cobb Salad
Spicy Southwest Salad
Chicken Salad Sandwich
Chick-n-Strips
Egg White Grill
Chicken Noodle Soup
Chicken Minis
Breakfast Burrito (with Chicken)
Chicken Sandwich
Grilled Chicken Club Sandwich
Deluxe Chicken Sandwich
Chicken Biscuit
"Chicken, Egg and Cheese Bagel"
Chicken Nuggets
Spicy Chicken Sandwich
Spicy Deluxe Chicken Sandwich
Frosted Lemonade
Frosted Coffee
Milkshake
Soft Drink
Hash Browns
Greek Yogurt Parfait
Superfood
Chocolate Chunk Cookie
Waffle Potato Fries
